"my_time","p1_bite","p2_bite","sensitive"
3232,0,0,0
3233,0,0,0
3234,0,0,0
3235,0,0,0
3236,0,0,0
3237,0,0,0
3238,0,0,0
3239,0,1,0
3240,0,0,0
3241,0,0,0
3242,0,1,0
3243,0,0,0
3244,0,0,0
3245,0,0,0
3246,0,0,0
3247,0,0,0
3248,0,1,0
3249,0,0,0
3250,0,0,0
3251,0,1,0
3252,0,0,0
3253,0,0,0
3254,0,0,0
3255,0,0,0
3256,0,0,0
3257,0,0,0
3258,0,0,0
3259,0,0,0
3260,0,0,0
3261,0,0,0
3262,0,0,0
3263,0,0,0
3264,0,0,0
3265,0,0,0
3266,0,0,0
3267,0,0,0
3268,0,1,0
3269,0,0,0
3270,0,0,0
3271,0,1,0
3272,0,0,0
3273,0,0,0
3274,0,0,0
3275,0,0,0
3276,0,0,0
3277,0,0,0
3278,0,0,0
3279,0,0,0
3280,0,0,0
3281,0,0,0
3282,0,0,0
3283,0,0,0
3284,0,0,0
3285,0,0,0
3286,0,0,0
3287,0,0,0
3288,0,0,0
3289,0,0,0
3290,0,0,0
3291,0,0,0
3292,0,0,0
3293,0,1,0
3294,0,0,0
3295,0,0,0
3296,0,0,0
3297,0,0,0
3298,0,0,0
3299,0,0,0
3300,0,0,0
3301,0,0,0
3302,0,1,0
